id_projeto,fonte_dado,pais,estado_regiao,empresa_consorcio,status_maturidade,fase,tecnologia_eletrolise,aplicacao_final,produto_final,capacidade_mw,producao_t_ano,producao_kg_dia,investimento,moeda_investimento,data_anuncio,previsao_operacao,fonte_renovavel,materia_prima,tipo_parceria,url_fonte,id_fontes,id_estados,id_empresas,id_status,id_tecnologias,id_aplicacoes
H2V-00051,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00052,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00053,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00054,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00055,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00056,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00057,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00058,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00059,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00060,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00061,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00062,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00063,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00064,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00065,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
