id_empresas,empresa_consorcio
953,Dos Araçás
954,Ventos do Nordeste
955,Caetité B
956,Caetité C
957,Tanque
958,Morrão
959,Pilões
960,Pajeú do Vento
961,Cristalândia III
962,Planaltina
963,Cristalândia II
964,Da Prata
965,Cristalândia I
966,Joana
967,Emiliana
968,Nossa Senhora da Conceição
969,Pedra
970,Porto Seguro
971,Igaporã
972,Serra da Mesa
973,Coprodia
974,Inpasa Mutum
975,Buritizal I
976,Margarida 2
977,Aura Tanque Novo 02
978,Masutti
979,Aura Caetité 04
980,Aura Tanque Novo 01
981,Aura Caetité 03
982,Aura Tanque Novo 03
983,Aura Caetité 02
984,Miranda Estância
985,Aura Caetité 01
986,Cana Brava
987,Juruena
988,BJL 11
